"Metric","Metric Id","Item","Item Id","Region","Region Id","Partner Region","Partner Region Id","Unit","Unit Id","Frequency","Frequency Id","Start Date","End Date","Value","Source"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1990-01-01","1990-12-31",1153704252,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1991-01-01","1991-12-31",1170626170.9999998,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1992-01-01","1992-12-31",1183813389,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1993-01-01","1993-12-31",1195855558,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1994-01-01","1994-12-31",1207286675,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1995-01-01","1995-12-31",1218144426,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1996-01-01","1996-12-31",1228298836,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1997-01-01","1997-12-31",1237801447.9999998,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1998-01-01","1998-12-31",1246836105,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"1999-01-01","1999-12-31",1255433236,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2000-01-01","2000-12-31",1264099069.0000002,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2001-01-01","2001-12-31",1272739582,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2002-01-01","2002-12-31",1280926120,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2003-01-01","2003-12-31",1288873367,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2004-01-01","2004-12-31",1296816711,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2005-01-01","2005-12-31",1304887562,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2006-01-01","2006-12-31",1313086567,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2007-01-01","2007-12-31",1321513224.0000002,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2008-01-01","2008-12-31",1330167148,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2009-01-01","2009-12-31",1339125595,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2010-01-01","2010-12-31",1348191368,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2011-01-01","2011-12-31",1357095481,"FAO, Gro Intelligence"
"Population Size (count)",5040005,"Total population",763,"China, mainland",1231,,,"head",104,"annual",9,"2012-01-01","2012-12-31",1366560818.0000002,"FAO, Gro Intelligence"
